id, dayid, TMIN,TMAX, PRCP,numtrips
1,2,26,40,0,412630
2,3,22,33,0,393001
3,4,24,32,0,441233
4,5,30,37,0,478437
5,6,32,42,0,473804
6,7,34,46,0,403667
7,1,37,45,0,407363
8,2,35,48,0,441778
9,3,39,49,0,457471
10,4,40,47,0,487949
11,5,37,46,0.55,521398
12,6,42,47,0.02,507429
13,7,43,50,0,442541
14,1,38,56,0.09,443650
15,2,35,38,0.12,496899
16,3,32,37,0.69,500065
17,4,35,43,0,512533
18,5,25,35,0,543734
19,6,30,51,0,510530
20,7,30,53,0,459393
21,1,26,32,0,384614
22,2,13,27,0,496005
23,3,11,20,0,520520
24,4,12,22,0,533039
25,5,13,24,0.07,537188
26,6,15,27,0,557203
27,7,19,34,0,470833
28,1,29,36,0.22,450789
29,2,36,49,0.06,477380
30,3,39,59,0.04,482378
31,4,30,61,0.9,531161
32,5,24,31,0,567076
33,6,19,29,0.02,569777
34,7,24,30,0.02,472623
35,1,23,30,0,457093
36,2,28,32,0.02,482637
37,3,29,39,0,506443
38,4,26,32,0,535105
39,5,27,34,1.15,432643
40,6,21,32,0.38,392006
41,7,18,36,0,459612
42,1,34,45,0.49,458947
43,2,36,44,0,503963
44,3,33,44,0.03,524250
45,4,33,46,0,527476
46,5,37,55,0,537129
47,6,31,41,0.02,542291
48,7,18,32,0,506209
49,1,17,35,0,407104
50,2,33,49,0.15,456383
51,3,25,38,0,512507
52,4,24,34,0,538079
53,5,25,38,0,558738
54,6,36,42,0.26,584812
55,7,34,47,0.01,474783
56,1,32,45,0,451955
57,2,35,44,0.14,496612
58,3,36,47,1.56,509033
59,4,39,51,0,524890
60,5,36,45,0,564492
61,6,31,40,0,584654
62,7,29,40,0,493312
63,1,27,42,0,466591
64,2,31,49,0,493815
65,3,38,42,0,518309
66,4,33,38,0.19,538316
67,5,31,42,0.54,545587
68,6,35,55,0,562200
69,7,36,50,0,468337
70,1,40,54,0,451483
71,2,43,57,0.79,494922
72,3,38,52,0,514843
73,4,29,41,0,552660
74,5,30,47,0,559360
75,6,32,41,0.12,574056
76,7,29,38,0,493734
77,1,28,35,0.65,458062
78,2,33,43,0.36,477028
79,3,32,45,0,493779
80,4,30,40,0,505003
81,5,28,41,0,548247
82,6,32,46,0,553332
83,7,33,47,0,468001
84,1,36,40,0.17,438928
85,2,37,53,0,460401
86,3,36,53,0,486853
87,4,37,51,0,512225
88,5,40,55,0,519004
89,6,40,59,0,504537
90,7,44,54,0.08,447157
91,1,37,62,0,428997
92,2,33,43,0,495549
93,3,33,46,0,513864
94,4,33,53,0,532590
95,5,41,64,0,554436
96,6,35,52,0,533177
97,7,40,55,0,461165
98,1,51,73,0,440520
99,2,51,82,0,477161
100,3,55,74,0.49,503211
101,4,47,60,0,525206
102,5,41,47,0.63,564860
103,6,41,58,0.01,555218
104,7,46,57,0,485706
105,1,44,59,0,461076
106,2,47,63,0,481130
107,3,55,71,0.02,501840
108,4,51,59,0.01,526055
109,5,55,71,0.05,544060
110,6,43,60,0.06,570929
111,7,37,55,0,483324
112,1,41,55,0,457622
113,2,41,53,0,498802
114,3,44,69,0,500551
115,4,46,66,0,518574
116,5,50,67,0,539015
117,6,48,71,0,538317
118,7,51,69,0,467900
119,1,52,57,0.04,459114
120,2,51,68,0,480499
121,3,47,69,0,496654
122,4,49,72,0,523151
123,5,49,66,0,550959
124,6,48,69,0,554561
125,7,46,64,0,488396
126,1,46,69,0,468128
127,2,52,74,0,490805
128,3,55,63,3.02,509311
129,4,54,68,0.5,526752
130,5,59,79,0.01,538311
131,6,61,70,1.09,540132
132,7,51,70,0,461193
133,1,45,58,0,460124
134,2,42,61,0,490347
135,3,52,69,0,508359
136,4,62,79,0,528160
137,5,58,72,0,533823
138,6,56,65,0.01,535926
139,7,55,59,0.6,489710
140,1,58,79,0,466784
141,2,68,86,0,499495
142,3,59,78,0,502922
143,4,64,80,1.81,492059
144,5,45,65,0.3,493126
145,6,45,54,0.14,453460
146,7,48,66,0,384516
147,1,51,73,0,336266
148,2,56,68,0.52,445789
149,3,58,82,0,479913
150,4,72,90,0,510309
151,5,75,90,0,525606
152,6,73,90,0,533686
153,7,69,88,0.85,451758
154,1,66,78,0.87,452843
155,2,57,75,0,477247
156,3,58,74,0,497525
157,4,59,70,0.13,515390
158,5,59,63,4.16,532092
159,6,57,77,0.48,489509
160,7,63,80,0,441053
161,1,62,70,1.38,461167
162,2,64,80,0.09,473608
163,3,65,76,0,486639
164,4,55,69,1.26,519795
165,5,53,72,0.38,507938
166,6,61,80,0,495600
167,7,65,80,0,421987
168,1,69,84,0.01,437845
169,2,64,84,0.2,467426
170,3,59,77,0,489915
171,4,62,80,0,499545
172,5,64,82,0,505615
173,6,65,84,0,474408
174,7,70,88,0,436668
175,1,74,92,0,437610
176,2,73,91,0,470671
177,3,74,85,0.05,487692
178,4,73,86,0.24,504877
179,5,73,85,0,506807
180,6,71,83,0,490613
181,7,73,86,0,417927
182,1,72,77,0.84,422480
183,2,72,82,0.08,442300
184,3,73,83,0.53,435265
185,4,75,87,0,326471
186,5,76,90,0,353054
187,6,78,92,0,355218
188,7,78,92,0,358766
189,1,73,89,0.22,413838
190,2,74,88,0.23,458674
191,3,75,85,0,474780
192,4,76,84,0,495023
193,5,68,77,0.25,507426
194,6,67,81,0.06,468743
195,7,74,90,0,435797
196,1,78,94,0,443449
197,2,77,94,0,466846
198,3,79,97,0,496511
199,4,81,98,0,513766
200,5,83,96,0,515946
201,6,81,93,0,485994
202,7,76,89,0,414532
203,1,75,86,0.06,440457
204,2,73,87,0.31,465257
205,3,68,83,0,476404
206,4,64,68,0.01,487993
207,5,65,83,0,483652
208,6,70,82,0,457849
209,7,70,78,0.24,415239
210,1,69,85,0.01,409210
211,2,67,83,0,443487
212,3,67,83,0,459413
213,4,66,76,0.65,307260
214,5,67,83,0,236748
215,6,68,78,0.06,226553
216,7,66,80,0,202310
217,1,62,78,0,406380
218,2,64,82,0,448250
219,3,70,80,0,465632
220,4,70,81,0.46,437140
221,5,74,85,0.05,489301
222,6,70,83,0,445037
223,7,65,81,0,195405
224,1,70,82,0.05,399261
225,2,68,77,0.85,449946
226,3,61,74,0,457843
227,4,59,78,0,473544
228,5,64,82,0,449766
229,6,64,84,0,438088
230,7,68,76,0,390925
231,1,66,79,0,397350
232,2,68,88,0,432545
233,3,72,90,0,454080
234,4,71,78,0.25,471247
235,5,71,82,0,464484
236,6,65,80,0,448491
237,7,64,83,0,400758
238,1,68,84,0.04,394409
239,2,71,87,0.01,422802
240,3,71,86,0.43,444727
241,4,71,80,0,455453
242,5,70,85,0,456824
243,6,73,86,0,434550
244,7,75,84,0,384470
245,1,74,82,0.05,332266
246,2,68,82,0.03,422359
247,3,65,82,0,453983
248,4,64,80,0,467390
249,5,57,72,0,508640
250,6,59,80,0,511269
251,7,64,83,0,462607
252,1,57,73,0,451162
253,2,68,87,0.01,483385
254,3,77,96,0,501093
255,4,70,87,1.6,503526
256,5,59,77,0.06,523280
257,6,54,67,0,518170
258,7,51,73,0,462795
259,1,56,73,0.03,444748
260,2,50,65,0,468093
261,3,51,72,0,484596
262,4,55,78,0,504010
263,5,60,79,0,523123
264,6,61,77,0.72,535226
265,7,54,69,0.45,457166
266,1,50,66,0,411837
267,2,47,73,0,435121
268,3,52,73,0,461769
269,4,58,71,0,484958
270,5,57,69,0,502250
271,6,56,73,0,526082
272,7,57,72,0,457888
273,1,56,75,0,424431
274,2,59,82,0,452769
275,3,64,83,0,475182
276,4,63,78,0,496807
277,5,66,86,0,520937
278,6,64,76,0,538444
279,7,65,70,0,457691
280,1,60,76,0.25,426030
281,2,54,67,0,459784
282,3,53,62,0,484883
283,4,54,65,0,507456
284,5,60,68,0.02,516171
285,6,60,72,0,524068
286,7,56,65,0,462766
287,1,52,66,0,403416
288,2,53,72,0,430354
289,3,56,67,0,477305
290,4,61,73,0.02,506341
291,5,55,68,0,526590
292,6,52,64,0.01,549186
293,7,50,63,0,473864
294,1,50,66,0,435562
295,2,51,67,0,466786
296,3,45,55,0,495387
297,4,41,54,0,513937
298,5,40,53,0,530999
299,6,41,55,0,536130
300,7,46,58,0,468421
301,1,43,61,0,432200
302,2,44,56,0,463945
303,3,47,60,0,481728
304,4,53,66,0.06,489417
305,5,59,70,0.13,555745
306,6,55,68,0,550253
307,7,37,55,0,482847
308,1,35,46,0,448323
309,2,41,55,0,467510
310,3,49,61,0,483207
311,4,44,64,0.13,508154
312,5,40,50,0,528447
313,6,38,50,0,545002
314,7,44,61,0,473151
315,1,43,53,0,417822
316,2,31,52,0.03,473987
317,3,29,39,0,492095
318,4,33,52,0,506377
319,5,44,57,0,514297
320,6,45,60,0.05,538546
321,7,51,60,0.03,464838
322,1,51,65,0.22,425004
323,2,36,51,0,475478
324,3,32,44,0,493407
325,4,35,52,0,497944
326,5,51,57,0.07,524547
327,6,31,54,0,553845
328,7,23,30,0,498122
329,1,23,35,0,445802
330,2,33,47,0.51,438122
331,3,35,62,1.98,447133
332,4,30,35,0,331610
333,5,29,39,0,373808
334,6,25,39,0,433028
335,7,36,49,0,398089
336,1,41,49,0,427094
337,2,38,53,0,463782
338,3,41,52,0,471838
339,4,48,60,0.01,498220
340,5,37,62,0.73,530748
341,6,32,41,0.14,552655
342,7,29,33,0.08,488180
343,1,31,39,0.3,452108
344,2,30,37,0.23,478456
345,3,27,33,0,485363
346,4,23,30,0,507534
347,5,23,35,0,543606
348,6,22,34,0.73,516303
349,7,30,40,0.72,458267
350,1,25,33,0,454088
351,2,24,32,0.19,481726
352,3,23,37,0,488390
353,4,30,47,0,496031
354,5,41,53,0,520424
355,6,51,65,0.01,478717
356,7,61,71,0,403373
357,1,42,64,0.51,385241
358,2,26,42,0,369596
359,3,19,31,0,245723
360,4,30,36,0,321895
361,5,31,40,0,381837
362,6,36,55,0,391307
363,7,41,48,1.2,407235
364,1,23,45,0,405705
365,2,21,32,0,467587
